epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7937,2.82878,4.38153,3.72499,2.1809,0,0.21141,0.1223,0.09147,0.02318,0,0,0,0,2.30904,3.91323,3.41834,2.04863,0,0.000658333,0.000658333,0.000658333
2,32.5145,2.28347,3.72857,3.06222,1.79862,0,0.17834,0.19424,0.0769,0.0172,0,0,0,0,2.36483,3.96029,3.5603,2.10679,0,0.00129877,0.00129877,0.00129877
3,48.2236,2.24994,3.73035,2.86761,1.7198,0,0.11577,0.35971,0.07704,0.01989,8e-05,0.01439,4e-05,2e-05,2.5931,3.95759,3.40791,2.1731,0,0.0019128,0.0019128,0.0019128
4,63.9737,2.2589,3.62356,2.8119,1.71618,0,0.31754,0.26619,0.19936,0.05253,4e-05,0.00719,2e-05,0,2.36381,3.62708,2.80354,2.1525,0,0.0018812,0.0018812,0.0018812
5,79.7452,2.20697,3.48235,2.69335,1.72761,0,0.27955,0.35971,0.22559,0.06539,4e-05,0.00719,2e-05,1e-05,2.27015,3.71755,3.387,2.0394,0,0.0018416,0.0018416,0.0018416
6,95.5753,2.11587,3.5229,2.49893,1.65808,0,0.27387,0.25899,0.18799,0.061,0.00033,0.05755,0.00019,5e-05,2.12761,3.53028,2.60364,1.73425,0,0.001802,0.001802,0.001802
7,111.378,2.16261,3.59105,2.53179,1.70626,0,0.25446,0.3741,0.19942,0.06166,0.00037,0.06475,0.00026,4e-05,1.9925,3.4524,2.55516,1.73257,0,0.0017624,0.0017624,0.0017624
8,127.393,2.15069,3.66597,2.47126,1.63821,0,0.40505,0.25471,0.26849,0.07466,0.00029,0.05036,0.00024,6e-05,2.07031,3.4843,2.55683,1.71709,0,0.0017228,0.0017228,0.0017228
9,143.345,2.04935,3.50611,2.42498,1.58641,0,0.4339,0.30216,0.28932,0.07126,0.00046,0.05755,0.00027,6e-05,2.14295,3.32814,2.49059,1.78125,0,0.0016832,0.0016832,0.0016832
10,159.387,2.03151,3.46516,2.34107,1.59693,0,0.39648,0.2518,0.28975,0.09388,0.00072,0.10791,0.00062,0.00013,1.90043,3.25717,2.46963,1.57575,0,0.0016436,0.0016436,0.0016436
11,175.511,1.93751,3.38863,2.33622,1.55469,0,0.37246,0.29037,0.29827,0.09087,0.00426,0.07914,0.00074,0.00017,1.82543,3.25471,2.43507,1.54855,0,0.001604,0.001604,0.001604
12,191.444,1.91185,3.41633,2.27694,1.54595,0,0.40799,0.3741,0.32955,0.10222,0.00208,0.01439,0.00095,0.00021,1.86454,3.28188,2.35279,1.61213,0,0.0015644,0.0015644,0.0015644
13,207.446,1.93666,3.4959,2.23621,1.52068,0,0.27259,0.41007,0.26175,0.08695,0.00227,0.05036,0.00059,0.00013,1.87,3.24303,2.41307,1.60815,0,0.0015248,0.0015248,0.0015248
14,223.475,1.98757,3.53873,2.2639,1.55524,0,0.32399,0.28963,0.25616,0.08426,0.00568,0.03597,0.00091,0.00027,1.81301,3.34186,2.38124,1.55163,0,0.0014852,0.0014852,0.0014852
15,239.466,1.91189,3.50675,2.20627,1.48607,0,0.25402,0.43885,0.20739,0.07517,0.0083,0.05036,0.0013,0.00034,1.76306,3.20313,2.35923,1.47525,0,0.0014456,0.0014456,0.0014456
16,255.383,1.90414,3.32716,2.1916,1.48708,0,0.27921,0.38129,0.27805,0.09844,0.00545,0.02158,0.00146,0.00036,1.7507,3.14669,2.29753,1.47039,0,0.001406,0.001406,0.001406
17,271.327,1.91198,3.335,2.19597,1.44873,0,0.26761,0.30935,0.24949,0.09653,0.00091,0.10791,0.00079,0.00017,1.78819,3.21008,2.42374,1.45121,0,0.0013664,0.0013664,0.0013664
18,287.236,1.83234,3.34301,2.1722,1.42082,0,0.25272,0.44604,0.31475,0.10106,0.01234,0.11511,0.0035,0.00068,1.83225,3.16624,2.25088,1.46212,0,0.0013268,0.0013268,0.0013268
19,303.167,1.81223,3.30358,2.15569,1.44397,0,0.39919,0.32374,0.317,0.09383,0.00797,0.04317,0.00122,0.00024,1.81571,3.18404,2.29614,1.51598,0,0.0012872,0.0012872,0.0012872
20,319.112,1.83685,3.32987,2.16114,1.45103,0,0.38915,0.33813,0.30392,0.09439,0.00279,0.01439,0.00096,0.00025,1.83475,3.22939,2.3877,1.54119,0,0.0012476,0.0012476,0.0012476
21,334.997,1.80945,3.28452,2.13504,1.429,0,0.34621,0.34532,0.28677,0.09305,0.00369,0.14388,0.00186,0.00045,1.7626,3.19577,2.33929,1.44769,0,0.001208,0.001208,0.001208
22,350.979,1.80477,3.28689,2.114,1.39734,0,0.36536,0.38518,0.27835,0.09419,0.00948,0.05755,0.00319,0.00059,1.72854,3.12267,2.27134,1.47361,0,0.0011684,0.0011684,0.0011684
